Case ID,Case Number,Source Verified,Ground Truth Verified,Evidence Direction Verified,Retrieval Baseline,Gate Baseline,Decision Baseline,External Review Status,Lock Status,Freeze Ready
refgrounded_001_melissa_officinalis_sleep,1,YES — EMA/HMPC/196745/2012 exists; Melissa officinalis folium monograph matched.,NO — REFERENCE_CURATED_DEVELOPMENT; external expert review pending,INTERNAL CURATED (positive); EXTERNAL REVIEW PENDING,MISSING,NOT FROZEN,NOT FROZEN,PENDING — internal_scientific_curation_pending_external_expert_review,UNLOCKED,NO
refgrounded_003_matricaria_chamomilla_sleep,3,YES — DOI 10.1016/j.ctim.2024.103071 / PMID 39106912; metadata date corrected to Epub 2024-08-04.,NO — REFERENCE_CURATED_DEVELOPMENT; external expert review pending,INTERNAL CURATED (mixed); EXTERNAL REVIEW PENDING,MISSING,NOT FROZEN,NOT FROZEN,PENDING — internal_scientific_curation_pending_external_expert_review,UNLOCKED,NO
refgrounded_004_ginkgo_biloba_cognitive,4,"YES — Cochrane CD013661, 2026-02-05.",NO — REFERENCE_CURATED_DEVELOPMENT; external expert review pending,INTERNAL CURATED (negative); EXTERNAL REVIEW PENDING,MISSING,NOT FROZEN,NOT FROZEN,PENDING — internal_scientific_curation_pending_external_expert_review,UNLOCKED,NO
refgrounded_005_cimicifuga_racemosa_menopausal,5,"YES — Cochrane CD007244, 2012-09-12.",NO — REFERENCE_CURATED_DEVELOPMENT; external expert review pending,INTERNAL CURATED (unclear); EXTERNAL REVIEW PENDING,MISSING,NOT FROZEN,NOT FROZEN,PENDING — internal_scientific_curation_pending_external_expert_review,UNLOCKED,NO
refgrounded_006_hypericum_perforatum_safety_interaction,6,YES — EMA/HMPC/7695/2021.,NO — REFERENCE_CURATED_DEVELOPMENT; external expert review pending,INTERNAL CURATED (positive); EXTERNAL REVIEW PENDING,FROZEN,NOT FROZEN,NOT FROZEN,PENDING — internal_scientific_curation_pending_external_expert_review,UNLOCKED,NO
refgrounded_007_valeriana_officinalis_preparation_spec,7,YES — EMA/HMPC/150846/2015 assessment report exists.,NO — REFERENCE_CURATED_DEVELOPMENT; external expert review pending,INTERNAL CURATED (positive); EXTERNAL REVIEW PENDING,MISSING,NOT FROZEN,NOT FROZEN,PENDING — internal_scientific_curation_pending_external_expert_review,UNLOCKED,NO
refgrounded_008_ginkgo_biloba_preparation_spec,8,YES — EMA/HMPC/321097/2012; Ginkgo preparation specification matched.,NO — REFERENCE_CURATED_DEVELOPMENT; external expert review pending,INTERNAL CURATED (positive); EXTERNAL REVIEW PENDING,MISSING,NOT FROZEN,NOT FROZEN,PENDING — internal_scientific_curation_pending_external_expert_review,UNLOCKED,NO
refgrounded_009_melissa_officinalis_mental_stress,9,YES — EMA/HMPC/310761/2013.,NO — REFERENCE_CURATED_DEVELOPMENT; external expert review pending,INTERNAL CURATED (positive); EXTERNAL REVIEW PENDING,MISSING,NOT FROZEN,NOT FROZEN,PENDING — internal_scientific_curation_pending_external_expert_review,UNLOCKED,NO
refgrounded_010_passiflora_incarnata_mental_stress,10,YES — EMA/275240/2014.,NO — REFERENCE_CURATED_DEVELOPMENT; external expert review pending,INTERNAL CURATED (positive); EXTERNAL REVIEW PENDING,MISSING,NOT FROZEN,NOT FROZEN,PENDING — internal_scientific_curation_pending_external_expert_review,UNLOCKED,NO
refgrounded_011_matricaria_chamomilla_indication_evidence,11,YES — PMID 31006899 / DOI 10.1002/ptr.6349.,NO — REFERENCE_CURATED_DEVELOPMENT; external expert review pending,INTERNAL CURATED (positive); EXTERNAL REVIEW PENDING,MISSING,NOT FROZEN,NOT FROZEN,PENDING — internal_scientific_curation_pending_external_expert_review,UNLOCKED,NO
refgrounded_012_lavandula_angustifolia_sleep,12,YES — EMA/HMPC/530968/2012.,NO — REFERENCE_CURATED_DEVELOPMENT; external expert review pending,INTERNAL CURATED (positive); EXTERNAL REVIEW PENDING,MISSING,NOT FROZEN,NOT FROZEN,PENDING — internal_scientific_curation_pending_external_expert_review,UNLOCKED,NO
refgrounded_013_echinacea_purpurea_identity_quality,13,YES — Kew POWO LSID 1174497-2.,NO — REFERENCE_CURATED_DEVELOPMENT; external expert review pending,INTERNAL CURATED (positive); EXTERNAL REVIEW PENDING,MISSING,NOT FROZEN,NOT FROZEN,PENDING — internal_scientific_curation_pending_external_expert_review,UNLOCKED,NO
refgrounded_014_ginkgo_biloba_safety_interaction,14,YES — EMA/HMPC/321097/2012 source exists; interaction locator remains externally reviewable at item level.,NO — REFERENCE_CURATED_DEVELOPMENT; external expert review pending,INTERNAL CURATED (positive); EXTERNAL REVIEW PENDING,MISSING,NOT FROZEN,NOT FROZEN,PENDING — internal_scientific_curation_pending_external_expert_review,UNLOCKED,NO
refgrounded_015_hypericum_perforatum_preparation_spec,15,YES — EMA/HMPC/7695/2021; preparation-a specification source exists.,NO — REFERENCE_CURATED_DEVELOPMENT; external expert review pending,INTERNAL CURATED (positive); EXTERNAL REVIEW PENDING,MISSING,NOT FROZEN,NOT FROZEN,PENDING — internal_scientific_curation_pending_external_expert_review,UNLOCKED,NO
refgrounded_016_piper_methysticum_regulatory_prohibition,16,YES — UK MHRA / SI 3170 Kava prohibition.,NO — REFERENCE_CURATED_DEVELOPMENT; external expert review pending,INTERNAL CURATED (positive); EXTERNAL REVIEW PENDING,FROZEN,NOT FROZEN,NOT FROZEN,PENDING — internal_scientific_curation_pending_external_expert_review,UNLOCKED,NO
refgrounded_017_matricaria_chamomilla_identity_quality,17,YES — Kew POWO LSID 154715-2.,NO — REFERENCE_CURATED_DEVELOPMENT; external expert review pending,INTERNAL CURATED (positive); EXTERNAL REVIEW PENDING,MISSING,NOT FROZEN,NOT FROZEN,PENDING — internal_scientific_curation_pending_external_expert_review,UNLOCKED,NO
refgrounded_018_ephedra_sinica_regulatory_restriction,18,YES — UK MHRA restricted-ingredients table; Ephedra sinica under SI 2130 Parts II/III.,NO — REFERENCE_CURATED_DEVELOPMENT; external expert review pending,INTERNAL CURATED (positive); EXTERNAL REVIEW PENDING,FROZEN,NOT FROZEN,NOT FROZEN,PENDING — internal_scientific_curation_pending_external_expert_review,UNLOCKED,NO
refgrounded_019_panax_ginseng_who_monograph,19,"YES — WHO Monographs on Selected Medicinal Plants Vol.1, Radix Ginseng pp.168–182.",NO — REFERENCE_CURATED_DEVELOPMENT; external expert review pending,INTERNAL CURATED (positive); EXTERNAL REVIEW PENDING,FROZEN,NOT FROZEN,NOT FROZEN,PENDING — internal_scientific_curation_pending_external_expert_review,UNLOCKED,NO
refgrounded_020_echinacea_purpurea_escop_monograph,20,YES — ESCOP 2021 Echinaceae purpureae herba public summary.,NO — REFERENCE_CURATED_DEVELOPMENT; external expert review pending,INTERNAL CURATED (positive); EXTERNAL REVIEW PENDING,FROZEN,NOT FROZEN,NOT FROZEN,PENDING — internal_scientific_curation_pending_external_expert_review,UNLOCKED,NO
